provider_id,provider,product,price_amount,currency,period,price_kind,price_display,physical_cores,hardware_threads,memory_vendor_gb,memory_gib,raw_local_storage_gb,public_port_mbps,service_rate_mbps,transfer_tb,unmetered,country_codes,location_scope,product_url,artwork_count,notes
hetzner,Hetzner,AX42,79,EUR,month,indexed_starting_price_unconfirmed_checkout,EUR 79/month indexed starting price; dynamic checkout not captured,8,,64,,1024,1000,,,True,FI;DE,Named AX42 locations on product page,https://www.hetzner.com/dedicated-rootserver/ax42/,14,"Do not put this physical SKU in Hetzner US/Singapore cloud regions. IPv4 can be an extra. Price is provisional, not a firm quotation."
ovhcloud,OVHcloud,Eco RISE-1 (US catalog),70,USD,month,advertised,USD 70/month + USD 70 setup,6,12,32,,1024,1000,,,,US,provider footprint; confirm SKU availability,https://eco.us.ovhcloud.com/rise/,0,"Kimsufi and So you Start/Eco are product families, not independent providers. Page may show coming-soon or limited availability. Do not apply EU/US traffic rules to APAC blindly."
leaseweb,Leaseweb,Dedicated Servers / configurable bare metal,,,month,configurator_not_captured,Configurator or sales quotation; exact basket not captured,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.leaseweb.com/en/products-services/dedicated-servers,0,One provider with many regions. Private interconnect and Internet transit are separate products.
scaleway,Scaleway,Dedibox Core-10-XS,114.74,EUR,month,36_month_commitment,EUR 114.74/month equivalent on 36-month commitment,8,16,64,,1920,,,,,,provider footprint; confirm SKU availability,https://www.scaleway.com/en/dedicated-server/dedicated-power/,0,Do not mix Dedibox commitment pricing with hourly Elastic Metal. Online.net and Dedibox are not independent suppliers.
ionos,IONOS,L-16 HDD,47,USD,month,advertised,USD 47/month; cancel anytime,4,,16,,2000,,,,True,,provider footprint; confirm SKU availability,https://www.ionos.com/servers/cheap-dedicated-servers,0,"RAID 1 yields approximately 1 TB before filesystem overhead, not 2 TB usable. IONOS dedicated-core Cloud VMs are excluded."
contabo,Contabo,AMD Ryzen 12 Cores,131.75,USD,month,promotion_terms_unverified,USD 131.75/month promotional; displayed regular USD 179,12,,64,,1000,,,,,,provider footprint; confirm SKU availability,https://contabo.com/en-us/dedicated-servers/,0,"Do not substitute RAM/storage figures from third-party review tables or combine this price with Genoa/Turin configurations. First-party indexed product card identifies Ryzen 9 7900, 64 GB and 1 TB NVMe; final direct fetch was HTTP 403. Revalidate the complete promotional basket."
worldstream,Worldstream,Dedicated Servers / Deals,,,month,configurator_not_captured,Live inventory or custom quote; exact offer price not captured,,,,,,,,,,NL,provider footprint; confirm SKU availability,https://www.worldstream.com/en/dedicated-servers/,0,Separate Worldstream customer network/private services from Internet allowance.
datapacket,DataPacket,Berlin AMD EPYC 4245P,230,USD,month,starting_price_configuration_incomplete,USD 230/month starting price,,,,,,,,,,DE,Price specifically Berlin; worldwide footprint is separate,https://www.datapacket.com/datacenters/berlin,0,Other cities have different prices. Tel Aviv offering is physically described in Petah Tikva; do not use city marketing centroid as verified facility coordinates.
cherry-servers,Cherry Servers,Instant Dedicated Servers,0.084,EUR,hour,family_minimum_not_a_configured_offer,From EUR 0.084/hour advertised family minimum; exact SKU not captured,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.cherryservers.com/,0,A family maximum of 128 cores / 768 GB must not be paired with the minimum hourly price.
servers-com,Servers.com,Enterprise Bare Metal,,,month,quote_only,Sales quotation,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.servers.com/products/enterprise-bare-metal,0,Current site identifies Servers.com by Nexcess. Do not assume independent corporate failure domain from other Nexcess-branded services.
latitude-sh,Latitude.sh,m4.metal.small,296,USD,month,global_starting_price_not_location_quote,From USD 296/month; regional/billing-mode prices differ,6,,48,,1920,,,20,,,provider footprint; confirm SKU availability,https://www.latitude.sh/pricing/m4-metal-small,0,Current product page says 48 GB; an older launch article said 64 GB. Singapore monthly display USD 350 is not the global minimum; annual and hourly modes differ.
vultr,Vultr,Bare Metal,,,month,configurator_not_captured,Live pricing selector; exact CPU-only offer not captured,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.vultr.com/products/bare-metal/,0,Do not substitute Cloud Compute dedicated-vCPU plans for bare metal.
phoenixnap,phoenixNAP,Bare Metal Cloud s0.d1.small,0.08,USD,hour,advertised,USD 0.08/hour; USD 58.40 for a modeled 730-hour month,4,,16,,480,,,,,,provider footprint; confirm SKU availability,https://phoenixnap.com/bare-metal-cloud,0,"Do not multiply the initial location bandwidth pool by node count. 730-hour monthly value is arithmetic, not a vendor monthly commitment."
hivelocity,Hivelocity,Intel Xeon E-2336,75,USD,month,base_before_regional_surcharge,USD 75/month base; AMS1 selector displays +USD 55 (USD 130 arithmetic total; verify basket),6,12,32,,480,1000,,20,,NL,Example selector AMS1; base price is not Amsterdam total,https://www.hivelocity.net/pricing,0,Avoid showing Amsterdam at USD 75. Outlet stock is separate and can disappear.
ibm-cloud,IBM Cloud,Bare Metal Servers — Classic / VPC,,,month,configurator_not_captured,Region/configuration calculator; quotation,,,,,,,,20,,,provider footprint; confirm SKU availability,https://www.ibm.com/products/bare-metal-servers/pricing,0,20 TB applies to Classic description; do not apply automatically to VPC. Procurement and provisioning APIs differ.
oneprovider,OneProvider,Paris Atom C2350 dedicated,7.99,EUR,month,promotion,EUR 7.99/month promotional; displayed regular EUR 11.99; setup promo EUR 0 vs EUR 4.99,2,2,4,,128,1000,,,True,FR,Advertised dedicated offer location,https://oneprovider.com/,0,Aggregator/reseller: record actual upstream when known. Other virtual 1-vCPU products on the same page are not physical boxes. Tiny legacy offer is unsuitable as a primary modern build runner.
